year,scheme,category,women_applied,women_funded,men_applied,men_funded
2014,Early Career Fellowships,Basic Science,143,29,106,26
2014,Early Career Fellowships,Clinical Medicine and Science,95,22,59,15
2014,Early Career Fellowships,Health Services Research,24,4,13,4
2014,Early Career Fellowships,Public Health,88,18,30,7
2014,Career Development Fellowships,Basic Science,108,10,118,20
2014,Career Development Fellowships,Clinical Medicine and Science,63,5,46,10
2014,Career Development Fellowships,Health Services Research,13,NA,8,NA
2014,Career Development Fellowships,Public Health,51,9,24,4
