year,scheme,category,women_applied,women_funded,men_applied,men_funded
2013,Early Career Fellowships,Basic Science,117,22,91,26
2013,Early Career Fellowships,Clinical Medicine and Science,97,20,75,25
2013,Early Career Fellowships,Health Services Research,25,6,6,1
2013,Early Career Fellowships,Public Health,78,18,33,10
2013,Career Development Fellowships,Basic Science,60,13,63,9
2013,Career Development Fellowships,Clinical Medicine and Science,44,9,46,11
2013,Career Development Fellowships,Health Services Research,14,5,10,1
2013,Career Development Fellowships,Public Health,49,11,22,1
